Tahun,Periode,Jenis,Jumlah
2014,Januari,Honda,366797
2014,Februari,Honda,423950
2014,Maret,Honda,463070
2014,April,Honda,445420
2014,Mei,Honda,452353
2014,Juni,Honda,471585
2014,Juli,Honda,327364
2014,Agustus,Honda,388073
2014,September,Honda,459309
2014,Oktober,Honda,452508
2014,November,Honda,425409
2014,Desember,Honda,375814
2015,Januari,Honda,339850
2015,Februari,Honda,376973
2015,Maret,Honda,376571
2015,April,Honda,371001
2015,Mei,Honda,304900
2015,Juni,Honda,361767
2015,Juli,Honda,278754
2015,Agustus,Honda,430953
2015,September,Honda,425458
2015,Oktober,Honda,453944
2015,November,Honda,394726
2015,Desember,Honda,338991
2016,Januari,Honda,287776
2016,Februari,Honda,362668
2016,Maret,Honda,440171
2016,April,Honda,348626
2016,Mei,Honda,339128
2016,Juni,Honda,380019
2016,Juli,Honda,203659
2016,Agustus,Honda,388847
2016,September,Honda,423256
2016,Oktober,Honda,446611
2016,November,Honda,450331
2016,Desember,Honda,309796
2017,Januari,Honda,368739
2017,Februari,Honda,345921
2017,Maret,Honda,358524
2017,April,Honda,274155
2017,Mei,Honda,394751
2017,Juni,Honda,263854
2017,Juli,Honda,403487
2017,Agustus,Honda,418931
2017,September,Honda,408116
2017,Oktober,Honda,436974
2017,November,Honda,430487
2017,Desember,Honda,281949
2018,Januari,Honda,345957
2018,Februari,Honda,339152
2018,Maret,Honda,384187
2018,April,Honda,458499
2018,Mei,Honda,436727
2018,Juni,Honda,271206
2018,Juli,Honda,450622
2018,Agustus,Honda,443694
2018,September,Honda,406841
2018,Oktober,Honda,456582
2018,November,Honda,440659
2018,Desember,Honda,325076
